indicator,road,model_type,MAPE_test_%,SMAPE_test_%,AIC,resid_std
loss_3,Окт,AAA,5127628340020.282,116.28893413165693,881.4702693668884,197.81688019368553
loss_3,Клнг,AAA,1575631351781.5847,109.19381915162982,632.6234164850518,78.93694837232263
loss_3,Моск,AAA,12438279423013.793,140.89336922138526,916.6484164098129,207.28524847028183
loss_3,Горьк,AAA,2227683581621.622,78.44937512138334,831.0845256561215,106.03082426012132
loss_3,Сев,AAA,1569514704360.3223,60.617367618401964,914.7786640909949,199.0186541249721
loss_3,С-Кав,AAA,12219532852136.883,162.38250186001298,924.393458496914,361.6674316861501
loss_3,Ю-Вост,AAA,1010302199086.0981,94.30231651264491,787.9179501289478,78.99345667782
loss_3,Прив,AAA,6145827231278.262,99.53526527411411,965.3464297022117,289.48771167537393
loss_3,Кбш,AAA,2178506888544.8271,97.44836308074571,939.478365689556,161.08430646539642
loss_3,Сверд,AAA,4199620923860.2866,116.44716931183284,936.5090462517624,231.95480533720973
loss_3,Ю-Ур,AAA,1602937264192.7607,99.69821149739921,867.7530959026927,156.17781047329296
loss_3,З-Сиб,AAA,658557242786.6603,114.66728570352562,848.961582108173,132.08035768072745
loss_3,Крас,AAA,3594037992180.889,131.77742388151594,794.8052861151725,104.37314402471807
loss_3,В-Сиб,AAA,5343199577829.236,109.45059555205961,915.0459026390967,127.78949520793353
loss_3,Заб,AAA,10376064672258.254,132.2942452706171,998.6773780715462,341.170061715871
loss_3,Двост,AAA,10496915054384.568,115.9529699685236,958.7261362158657,344.55698028734844
